Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,ID,2025,12,Male,20,Right-Handed,183,25,177,1,Walk,7,0.307,40,None,750,500,400,850,900,900,26,Left foot,80,80,Same length,July,Spring,No,No,No favorite,Water,Computers and technology,8,8,6,Yes - broadband connection,Cell phone,4,6,3,1,12,0,0,21,1,0,30,2,20,2,Some,Undergraduate degree,Other,Telepathy,Happy,Relative,Health
USA,ID,2025,12,Male,23,Right-Handed,188,29,193,2,Walk,20,0.333,37,Soccer,100,350,500,800,500,750,27,Right foot,84,85,Ring finger,November,Summer,No,No,Pizza/Pasta,Water,Mathematics and statistics,7,9,2,Yes - broadband connection,Text messaging,25,30,1,1,9,7,2,2,10,1,2,1,25,5,Some,Undergraduate degree,Pop,Telepathy,Happy,Relative,Religious
USA,ID,2025,12,Male,26,Right-Handed,200,26.6,153,1,Car,10,0.299,30,Martial Arts,800,700,900,800,750,600,26.6,Same length,76.2,85.7,Ring finger,May,Fall,Yes,No,Meat,Water,Science,8,8,4,Yes - broadband connection,Internet chat or instant messaging,1,9,4,,,,,,,,,,,,,,,,,,
USA,ID,2025,12,Male,26,Right-Handed,200,26.6,153,1,Car,10,0.299,30,Martial Arts,800,700,900,800,750,600,26.6,Same length,76.2,85.7,Ring finger,May,Fall,Yes,No,Meat,Water,Science,8,8,4,Yes - broadband connection,Internet chat or instant messaging,1,9,4,2,6,8,2,5,,,5,,30,2,A lot,Graduate degree,Other,Telepathy,Happy,Friend,Education/Youth development
USA,ID,2025,12,Female,24,Left-Handed,163,26,160,2,Walk,15,0.378,42,Swimming,500,500,800,500,900,900,26,Same length,66,67,Ring finger,July,Summer,No,No,Pizza/Pasta,Water,Computers and technology,7,9,3,Yes - other,Text messaging,20,20,1,4,35,0,1,0,3,4,35,8,15,4,A lot,Graduate degree,Country,Fly,Happy,Relative,Environment
USA,ID,2025,12,Male,24,Right-Handed,180,30,90,2,Car,3,0.316,33,Dancing,380,674,1000,545,749,535,29,Right foot,55,50,Index finger,October,Fall,No,No,Meat,Water,Mathematics and statistics,6,10,2,Yes - other,In person,15,11,8,6,24,28,8,3,1,2,29,10,35,4,Some,Some college,Rhythm and blues (R&B),Freeze time,Healthy,Business person,Religious
USA,ID,2025,12,Female,21,Right-Handed,160,22,155,2,Walk,15,0.001,25,Other,100,100,100,300,800,800,21,Right foot,75,73,Index finger,April,Fall,No,No,Pizza/Pasta,Water,Computers and technology,8.5,8.5,7,Yes - broadband connection,In person,4,6,1,1,30,2,3,0,4,1,70,2,25,3,Very little,Graduate degree,Other,Fly,Rich,Friend,Health
USA,ID,2025,12,Male,22,Right-Handed,175,25,184,1,Walk,5,0.285,41,Dancing,400,500,500,400,1000,1000,25,Right foot,79,80,Ring finger,January,Winter,Yes,No,Pizza/Pasta,Water,Computers and technology,8,8,5,Yes - broadband connection,In person,7,37,8,2,5,5,0,10,0,1,10,3,10,1,Some,Graduate degree,Punk rock,Freeze time,Happy,Friend,Health
USA,ID,2025,12,Male,24,Left-Handed,176,26.7,170,2,Walk,12,0.369,54,Dancing,102,882,947,861,754,856,26.7,Same length,8.9,11,Ring finger,November,Fall,Yes,No,Meat,Water,Computers and technology,7,9,4,Yes - other,In person,28,52,6,2,24,1,7,7,8,1,40,1,18,2,Some,Graduate degree,Other,Invisibility,Rich,Musician or singer,Education/Youth development
USA,ID,2025,12,Male,19,Right-Handed,175.5,27,181.5,1,Walk,13,0.716,35,Running/Jogging,545,519,797,797,620,947,27,Same length,103,90,Index finger,December,Fall,No,No,Breads/Sandwiches,Water,Mathematics and statistics,7.5,9,5,Yes - broadband connection,Text messaging,6,22,20,4,8,6,4,0,1,5,21,10,0,6,Some,Graduate degree,Pop,Invisibility,Healthy,Relative,"Arts, culture, sports"
